Player,Team,Position,Status
Juan Soto,NYM,RF,Ben's Boston Lobstahs
Vladimir Guerrero Jr.,Tor,1B,Ben's Boston Lobstahs
Ketel Marte,Ari,2B,Ben's Boston Lobstahs
Logan Gilbert,Sea,SP,Ben's Boston Lobstahs
Brent Rooker,Oak,DH,Ben's Boston Lobstahs
Mason Miller,SD,RP,Ben's Boston Lobstahs
Cody Bellinger,NYY,LF,Ben's Boston Lobstahs
Eury Perez,Mia,SP,Ben's Boston Lobstahs
Chase Burns,Cin,SP,Ben's Boston Lobstahs
Tyler Glasnow,LAD,SP,Ben's Boston Lobstahs
Taylor Ward,Bal,LF,Ben's Boston Lobstahs
Munetaka Murakami,ChW,3B,Ben's Boston Lobstahs
Adley Rutschman,Bal,C,Ben's Boston Lobstahs
Ian Happ,ChC,LF,Ben's Boston Lobstahs
Miguel Vargas,ChW,3B,Ben's Boston Lobstahs
Edward Cabrera,ChC,SP,Ben's Boston Lobstahs
Jose Soriano,LAA,SP,Ben's Boston Lobstahs
Geraldo Perdomo,Ari,SS,Ben's Boston Lobstahs
Kris Bubic,KC,SP,Ben's Boston Lobstahs
Tanner Scott,LAD,RP,Ben's Boston Lobstahs
Jose Caballero,NYY,RF,Ben's Boston Lobstahs
Louis Varland,Tor,RP,Ben's Boston Lobstahs
Landen Roupp,SF,SP,Ben's Boston Lobstahs
Roman Anthony,Bos,RF,Ben's Boston Lobstahs
Travis Bazzana,Cle,2B,Ben's Boston Lobstahs
Trent Grisham,NYY,CF,Ben's Boston Lobstahs
Tarik Skubal,Det,SP,Polar Bear Power
Francisco Lindor,NYM,SS,Polar Bear Power
Pete Alonso,Bal,1B,Polar Bear Power
James Wood,Wsh,LF,Polar Bear Power
Freddy Peralta,NYM,SP,Polar Bear Power
Vinnie Pasquantino,KC,1B,Polar Bear Power
Edwin Diaz,LAD,RP,Polar Bear Power
Austin Riley,Atl,3B,Polar Bear Power
Nico Hoerner,ChC,2B,Polar Bear Power
Nick Pivetta,SD,SP,Polar Bear Power
Kyle Stowers,Mia,LF,Polar Bear Power
Trevor Megill,Mil,RP,Polar Bear Power
Jacob Wilson,Oak,SS,Polar Bear Power
Nathan Eovaldi,Tex,SP,Polar Bear Power
Matthew Boyd,ChC,SP,Polar Bear Power
Alejandro Kirk,Tor,C,Polar Bear Power
Chandler Simpson,TB,CF,Polar Bear Power
Trevor Rogers,Bal,SP,Polar Bear Power
Ernie Clement,Tor,3B,Polar Bear Power
Chase DeLauter,Cle,RF,Polar Bear Power
Jose Fernandez,Ari,SS,Polar Bear Power
Seth Lugo,KC,SP,Polar Bear Power
Ranger Suarez,Bos,SP,Polar Bear Power
